[2023-10-10T09:52:53Z INFO ] loading target linux/amd64...
[2023-10-10T09:52:54Z INFO ] loading extra relations...
[2023-10-10T09:52:54Z INFO ] pre-booting one vm...
[2023-10-10T09:53:05Z INFO ] boot cost around 10s
[2023-10-10T09:53:05Z INFO ] detecting features...
[2023-10-10T09:53:05Z INFO ] code coverage               : enabled
[2023-10-10T09:53:05Z INFO ] setuid sandbox              : enabled
[2023-10-10T09:53:05Z INFO ] Android sandbox             : enabled
[2023-10-10T09:53:05Z INFO ] net device setup            : enabled
[2023-10-10T09:53:05Z INFO ] pre-setup one executor...
[2023-10-10T09:53:07Z INFO ] ok, fuzzer-0 should be ready
[2023-10-10T09:53:07Z INFO ] fuzzer-0: online
[2023-10-10T10:11:37Z INFO ] exec: 57818, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 51111/53534, corpus: 2393
[2023-10-10T10:11:47Z INFO ] exec: 57911, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 51122/53541, corpus: 2396
[2023-10-10T10:11:57Z INFO ] exec: 58265, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 51253/53935, corpus: 2408
[2023-10-10T10:12:07Z INFO ] exec: 58729, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 51618/54037, corpus: 2420
[2023-10-10T10:12:17Z INFO ] exec: 59596, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 51892/54306, corpus: 2437
[2023-10-10T10:12:27Z INFO ] exec: 60207, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 51898/54312, corpus: 2441
[2023-10-10T10:12:37Z INFO ] exec: 60363, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 51955/54365, corpus: 2447
[2023-10-10T10:12:47Z INFO ] exec: 60696, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 51966/54383, corpus: 2451
[2023-10-10T10:12:57Z INFO ] exec: 61492, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 52009/54433, corpus: 2470
[2023-10-10T10:13:07Z INFO ] exec: 62093, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 52014/54446, corpus: 2471
[2023-10-10T10:13:17Z INFO ] exec: 62185, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 52019/54451, corpus: 2472
[2023-10-10T10:13:27Z INFO ] exec: 62668, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 52333/54782, corpus: 2490
[2023-10-10T10:13:37Z INFO ] exec: 63492, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 52414/54889, corpus: 2506
[2023-10-10T10:13:47Z INFO ] exec: 64780, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 52795/55291, corpus: 2528
[2023-10-10T10:13:57Z INFO ] exec: 65325, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 52852/55358, corpus: 2540
[2023-10-10T10:14:07Z INFO ] exec: 65436, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 52869/55375, corpus: 2544
[2023-10-10T10:14:17Z INFO ] exec: 65447, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 52869/55375, corpus: 2544
[2023-10-10T10:14:27Z INFO ] exec: 65757, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 52937/55486, corpus: 2553
[2023-10-10T10:14:37Z INFO ] exec: 66255, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 53015/55565, corpus: 2562
[2023-10-10T10:14:47Z INFO ] exec: 66818, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 53104/55669, corpus: 2575
[2023-10-10T10:14:57Z INFO ] exec: 66993, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 53129/55698, corpus: 2583
[2023-10-10T10:15:07Z INFO ] exec: 66993, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 53129/55698, corpus: 2583
[2023-10-10T10:15:17Z INFO ] exec: 67118, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 53140/55708, corpus: 2585
[2023-10-10T10:15:27Z INFO ] exec: 67360, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 53171/55771, corpus: 2591
[2023-10-10T10:15:37Z INFO ] exec: 67667, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 53587/56184, corpus: 2600
[2023-10-10T10:15:47Z INFO ] exec: 67761, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 53607/56204, corpus: 2603
[2023-10-10T10:15:57Z INFO ] exec: 67768, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 53607/56204, corpus: 2603
[2023-10-10T10:16:07Z INFO ] exec: 67962, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 53618/56280, corpus: 2606
[2023-10-10T10:16:17Z INFO ] exec: 68583, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 53738/56336, corpus: 2614
[2023-10-10T10:16:27Z INFO ] exec: 69110, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 53883/56494, corpus: 2625
[2023-10-10T10:16:34Z WARN ] fuzzer-0: failed to respawn executor: handshake: Resource temporarily unavailable (os error 11)
[2023-10-10T10:16:34Z WARN ] fuzzer-0: rebooting vm
[2023-10-10T10:16:37Z INFO ] exec: 69317, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 53889/56503, corpus: 2628
[2023-10-10T10:16:47Z INFO ] exec: 69825, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 53912/56530, corpus: 2637
[2023-10-10T10:16:57Z INFO ] exec: 70290, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54091/56718, corpus: 2652
[2023-10-10T10:17:07Z INFO ] exec: 70811, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54168/56795, corpus: 2654
[2023-10-10T10:17:17Z INFO ] exec: 71138, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54243/56881, corpus: 2662
[2023-10-10T10:17:27Z INFO ] exec: 71380, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54247/56890, corpus: 2664
[2023-10-10T10:17:37Z INFO ] exec: 71865, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54247/56890, corpus: 2664
[2023-10-10T10:17:47Z INFO ] exec: 71865, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54247/56890, corpus: 2664
[2023-10-10T10:17:57Z INFO ] exec: 71960, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54247/56890, corpus: 2664
[2023-10-10T10:18:07Z INFO ] exec: 72456, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54292/56941, corpus: 2675
[2023-10-10T10:18:17Z INFO ] exec: 73236, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54408/57063, corpus: 2683
[2023-10-10T10:18:27Z INFO ] exec: 73741, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54477/57132, corpus: 2686
[2023-10-10T10:18:37Z INFO ] exec: 73928, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54498/57161, corpus: 2690
[2023-10-10T10:18:47Z INFO ] exec: 74157, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54692/57358, corpus: 2694
[2023-10-10T10:18:57Z INFO ] exec: 74646, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54718/57384, corpus: 2704
[2023-10-10T10:19:07Z INFO ] exec: 75313, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54750/57430, corpus: 2713
[2023-10-10T10:19:17Z INFO ] exec: 75463, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54778/57461, corpus: 2720
[2023-10-10T10:19:22Z WARN ] fuzzer-0: failed to respawn executor: handshake: Resource temporarily unavailable (os error 11)
[2023-10-10T10:19:22Z WARN ] fuzzer-0: rebooting vm
[2023-10-10T10:19:27Z INFO ] exec: 76016, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54830/57528, corpus: 2725
[2023-10-10T10:19:37Z INFO ] exec: 76849, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 54865/57552, corpus: 2730
[2023-10-10T10:19:47Z INFO ] exec: 77368, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 55069/57793, corpus: 2741
[2023-10-10T10:19:57Z INFO ] exec: 77844, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 55090/57833, corpus: 2753
[2023-10-10T10:20:07Z INFO ] exec: 78197, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 55122/57863, corpus: 2759
[2023-10-10T10:20:17Z INFO ] exec: 78482, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 55166/57918, corpus: 2765
[2023-10-10T10:20:27Z INFO ] exec: 78879, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 55270/58018, corpus: 2778
[2023-10-10T10:20:37Z INFO ] exec: 79773, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 55463/58220, corpus: 2795
[2023-10-10T10:20:47Z INFO ] exec: 80667, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 55624/58387, corpus: 2808
[2023-10-10T10:20:57Z INFO ] exec: 80893, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 55654/58422, corpus: 2811
[2023-10-10T10:21:07Z INFO ] exec: 80894, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 55654/58422, corpus: 2811
[2023-10-10T10:21:17Z INFO ] exec: 81209, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 55697/58495, corpus: 2817
[2023-10-10T10:21:27Z INFO ] exec: 82343, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 55743/58548, corpus: 2824
[2023-10-10T10:21:37Z INFO ] exec: 82812, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 55761/58572, corpus: 2832
[2023-10-10T10:21:47Z INFO ] exec: 83263, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 55787/58607, corpus: 2836
[2023-10-10T10:21:57Z INFO ] exec: 83813, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 55881/58696, corpus: 2852
