[2023-10-18T03:59:31Z INFO ] exec: 29645, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40678/41807, corpus: 1540
[2023-10-18T03:59:41Z INFO ] exec: 29781, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40722/41855, corpus: 1548
[2023-10-18T03:59:51Z INFO ] exec: 29981, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40757/41894, corpus: 1553
[2023-10-18T04:00:01Z INFO ] exec: 30567, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40849/41979, corpus: 1566
[2023-10-18T04:00:11Z INFO ] exec: 31079, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40991/42138, corpus: 1587
[2023-10-18T04:00:21Z INFO ] exec: 31637, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 41193/42483, corpus: 1594
[2023-10-18T04:00:31Z INFO ] exec: 32594, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 41962/43173, corpus: 1618
[2023-10-18T04:00:41Z INFO ] exec: 33379, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42182/43410, corpus: 1644
[2023-10-18T04:00:51Z INFO ] exec: 34019, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42459/43692, corpus: 1672
[2023-10-18T04:01:01Z INFO ] exec: 34132, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42479/43712, corpus: 1676
[2023-10-18T04:01:11Z INFO ] exec: 34163, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42488/43720, corpus: 1677
[2023-10-18T04:01:21Z INFO ] exec: 34582, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42555/43802, corpus: 1689
[2023-10-18T04:01:31Z INFO ] exec: 35097, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42647/43936, corpus: 1701
[2023-10-18T04:01:41Z INFO ] exec: 35980, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42660/43951, corpus: 1708
[2023-10-18T04:01:51Z INFO ] exec: 36346, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42669/43964, corpus: 1712
[2023-10-18T04:02:01Z INFO ] exec: 36831, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42779/44079, corpus: 1729
[2023-10-18T04:02:11Z INFO ] exec: 37215, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42932/44236, corpus: 1739
[2023-10-18T04:02:21Z INFO ] exec: 37818, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43105/44446, corpus: 1758
[2023-10-18T04:02:31Z INFO ] exec: 38172, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43201/44550, corpus: 1769
[2023-10-18T04:02:41Z INFO ] exec: 38532, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43359/44757, corpus: 1780
[2023-10-18T04:02:51Z INFO ] exec: 38912, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43381/44818, corpus: 1787
