[2023-10-17T13:01:56Z INFO ] loading target linux/amd64...
[2023-10-17T13:01:57Z INFO ] pre-booting one vm...
[2023-10-17T13:02:08Z INFO ] boot cost around 10s
[2023-10-17T13:02:08Z INFO ] detecting features...
[2023-10-17T13:02:08Z INFO ] code coverage               : enabled
[2023-10-17T13:02:08Z INFO ] setuid sandbox              : enabled
[2023-10-17T13:02:08Z INFO ] Android sandbox             : enabled
[2023-10-17T13:02:08Z INFO ] net device setup            : enabled
[2023-10-17T13:02:08Z INFO ] pre-setup one executor...
[2023-10-17T13:02:10Z INFO ] ok, fuzzer-0 should be ready
[2023-10-17T13:02:10Z INFO ] fuzzer-0: online
[2023-10-17T13:10:40Z INFO ] exec: 24368, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40616/41715, corpus: 1471
[2023-10-17T13:10:50Z INFO ] exec: 25247, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40978/42101, corpus: 1489
[2023-10-17T13:11:00Z INFO ] exec: 25740, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 41146/42283, corpus: 1508
[2023-10-17T13:11:10Z INFO ] exec: 26036, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 41549/42699, corpus: 1519
[2023-10-17T13:11:20Z INFO ] exec: 26631, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 41762/42930, corpus: 1536
[2023-10-17T13:11:30Z INFO ] exec: 27041, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 41867/43026, corpus: 1555
[2023-10-17T13:11:40Z INFO ] exec: 27370, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42010/43173, corpus: 1570
[2023-10-17T13:11:50Z INFO ] exec: 28516, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42243/43411, corpus: 1582
[2023-10-17T13:12:00Z INFO ] exec: 29106, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42328/43494, corpus: 1592
[2023-10-17T13:12:10Z INFO ] exec: 29431, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42351/43521, corpus: 1598
[2023-10-17T13:12:20Z INFO ] exec: 29758, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42451/43624, corpus: 1610
[2023-10-17T13:12:30Z INFO ] exec: 29868, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42501/43676, corpus: 1614
[2023-10-17T13:12:40Z INFO ] exec: 30146, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42602/43789, corpus: 1624
[2023-10-17T13:12:50Z INFO ] exec: 30544, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42725/43920, corpus: 1637
[2023-10-17T13:13:00Z INFO ] exec: 31147, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43120/44310, corpus: 1665
[2023-10-17T13:13:10Z INFO ] exec: 31474, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43142/44337, corpus: 1673
[2023-10-17T13:13:20Z INFO ] exec: 32109, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43233/44429, corpus: 1677
[2023-10-17T13:13:30Z INFO ] exec: 33674, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43306/44551, corpus: 1690
[2023-10-17T13:13:40Z INFO ] exec: 34576, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43403/44662, corpus: 1706
[2023-10-17T13:13:50Z INFO ] exec: 34994, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43546/44810, corpus: 1723
[2023-10-17T13:14:00Z INFO ] exec: 35479, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43732/45039, corpus: 1743
[2023-10-17T13:14:10Z INFO ] exec: 35836, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43840/45152, corpus: 1752
[2023-10-17T13:14:20Z INFO ] exec: 36445, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 44119/45451, corpus: 1775
[2023-10-17T13:14:30Z INFO ] exec: 37010, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 44367/45718, corpus: 1795
[2023-10-17T13:14:40Z INFO ] exec: 37400, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 45161/46526, corpus: 1812
[2023-10-17T13:14:50Z INFO ] exec: 37575, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 45172/46540, corpus: 1816
[2023-10-17T13:15:00Z INFO ] exec: 38002, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 45963/47333, corpus: 1826
[2023-10-17T13:15:10Z INFO ] exec: 38418, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 46053/47439, corpus: 1834
[2023-10-17T13:15:20Z INFO ] exec: 40540, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 46971/48339, corpus: 1854
[2023-10-17T13:15:30Z INFO ] exec: 40861, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 47945/49321, corpus: 1862
[2023-10-17T13:15:40Z INFO ] exec: 40987, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 47956/49341, corpus: 1865
[2023-10-17T13:15:50Z INFO ] exec: 41487, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48010/49456, corpus: 1878
[2023-10-17T13:16:00Z INFO ] exec: 42294, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48223/49690, corpus: 1906
[2023-10-17T13:16:10Z INFO ] exec: 42576, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48309/49785, corpus: 1916
[2023-10-17T13:16:20Z INFO ] exec: 42576, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48309/49785, corpus: 1916
[2023-10-17T13:16:30Z INFO ] exec: 42635, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48315/49792, corpus: 1917
[2023-10-17T13:16:40Z INFO ] exec: 43467, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48347/49829, corpus: 1931
[2023-10-17T13:16:50Z INFO ] exec: 43629, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48352/49834, corpus: 1935
[2023-10-17T13:17:00Z INFO ] exec: 43879, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48370/49872, corpus: 1942
[2023-10-17T13:17:10Z INFO ] exec: 44279, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48484/49986, corpus: 1953
[2023-10-17T13:17:20Z INFO ] exec: 45751, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48761/50269, corpus: 1973
[2023-10-17T13:17:30Z INFO ] exec: 46538, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48816/50337, corpus: 1987
[2023-10-17T13:17:40Z INFO ] exec: 46674, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48846/50367, corpus: 1993
[2023-10-17T13:17:50Z INFO ] exec: 46945, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 49419/50935, corpus: 2005
[2023-10-17T13:18:00Z INFO ] exec: 48238, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 49609/51137, corpus: 2019
[2023-10-17T13:18:10Z INFO ] exec: 49164, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 50341/51874, corpus: 2054
[2023-10-17T13:18:20Z INFO ] exec: 49907, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 50447/51989, corpus: 2074
[2023-10-17T13:18:30Z INFO ] exec: 50615, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 50546/52130, corpus: 2088
[2023-10-17T13:18:40Z INFO ] exec: 51031, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 50553/52141, corpus: 2090
[2023-10-17T13:18:50Z INFO ] exec: 51031, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 50553/52141, corpus: 2090
[2023-10-17T13:19:00Z INFO ] exec: 51290, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 51383/52973, corpus: 2099
[2023-10-17T13:19:10Z INFO ] exec: 52564, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 51612/53210, corpus: 2121
[2023-10-17T13:19:20Z INFO ] exec: 53351, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 51777/53393, corpus: 2149
[2023-10-17T13:19:30Z INFO ] exec: 53807, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 51833/53460, corpus: 2164
[2023-10-17T13:19:40Z INFO ] exec: 54505, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 52000/53657, corpus: 2186
[2023-10-17T13:19:50Z INFO ] exec: 54909, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 52060/53729, corpus: 2196
[2023-10-17T13:20:00Z INFO ] exec: 54909, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 52060/53729, corpus: 2196
